,Storm ID,Name,Date,Year,Status,Max Latitude,Max Longitude,Max Windspeed,Max Pressure,Start Date,End Date,Duration,Landfall,Lf Latitude,Lf Longitude,Lf Windspeed,Nearest City,Storm Category,Category Value
13863,AL032017,CINDY,2017-06-21 00:00:00,2017,TS,26.2N,90.9W,57.538999999999994,995,2017-06-20 09:00:00,2017-06-22 18:00:00,2 days 09:00:00.000000000,L,10.6,-62.6,51.78509999999999,"carupano, ve",Tropical Storm,0
90,AL041983,BARRY,1983-08-28 17:02:05,1983,HU,25.4N,97.4W,80.5546,986,1983-08-24 06:00:00,1983-08-29 00:00:00,4 days 18:00:00.000000000,L,25.4,-97.4,80.5546,"matamoros, mx",Category One,1
382,AL041985,DANNY,1985-08-15 12:00:00,1985,HU,28.9N,92.6W,92.0624,988,1985-08-14 00:00:00,1985-08-16 06:00:00,2 days 06:00:00.000000000,L,29.6,-92.7,92.0624,"jennings, us",Category One,1
870,AL041988,DEBBY,1988-09-02 18:00:00,1988,HU,20.8N,96.6W,74.80069999999999,992,1988-09-02 06:00:00,1988-09-03 12:00:00,1 days 06:00:00.000000000,L,20.7,-97.3,74.80069999999999,"cazones, mx",Category One,1
1259,AL041989,CHANTAL,1989-08-01 06:00:00,1989,HU,28.7N,93.5W,80.5546,987,1989-07-31 06:00:00,1989-08-02 00:00:00,1 days 18:00:00.000000000,L,29.6,-94.4,80.5546,"galveston, us",Category One,1
1733,AL041990,CESAR,1990-08-02 06:00:00,1990,TS,16.1N,33.5W,51.78509999999999,1002,1990-08-02 00:00:00,1990-08-06 06:00:00,4 days 06:00:00.000000000,,,,,,Tropical Storm,0
2244,AL041992,ANDREW,1992-08-23 18:00:00,1992,HU,25.4N,75.8W,172.617,922,1992-08-17 12:00:00,1992-08-27 00:00:00,9 days 12:00:00.000000000,L,25.4,-76.6,161.1092,"dunmore town, bs",Category Five,5
2568,AL041993,CINDY,1993-08-16 12:00:00,1993,TS,17.3N,69.3W,46.0312,1007,1993-08-14 18:00:00,1993-08-16 18:00:00,2 days 00:00:00.000000000,L,14.5,-60.9,40.2773,"riviere-pilote, mq",Tropical Storm,0
2709,AL041994,CHRIS,1994-08-19 00:00:00,1994,HU,17.0N,50.6W,80.5546,985,1994-08-17 00:00:00,1994-08-23 18:00:00,6 days 18:00:00.000000000,,,,,,Category One,1
3021,AL041995,DEAN,1995-07-31 00:00:00,1995,TS,29.0N,95.0W,46.0312,999,1995-07-30 18:00:00,1995-07-31 02:00:00,0 days 08:00:00.000000000,L,29.2,-95.3,46.0312,"angleton, us",Tropical Storm,0
